Date,"	Time","	DetNo","		Stable","		GMean","			OMean","			Gain","					HV","						Offset",,,,,,,,,,,,,,,,,,,,,
2/12/2021,2:00,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
2/12/2021,2:46,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
2/12/2021,3:32,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
2/12/2021,4:16,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
2/12/2021,5:00,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
2/12/2021,5:48,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
2/12/2021,6:34,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
2/12/2021,7:20,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
2/12/2021,8:04,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
2/12/2021,8:52,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
2/12/2021,9:38,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
2/12/2021,10:24,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
2/12/2021,11:08,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
2/12/2021,11:56,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
2/12/2021,12:42,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
2/12/2021,13:28,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
2/12/2021,14:12,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
2/12/2021,15:00,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
2/12/2021,15:46,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
2/12/2021,16:30,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
2/12/2021,17:16,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
2/12/2021,18:02,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
2/12/2021,18:50,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
2/12/2021,19:34,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
2/12/2021,20:20,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
2/12/2021,21:06,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
2/12/2021,21:54,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
2/12/2021,22:38,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
2/12/2021,23:24,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
3/12/2021,0:10,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
3/12/2021,0:58,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
3/12/2021,1:42,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
3/12/2021,2:28,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
3/12/2021,3:14,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
3/12/2021,4:00,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
3/12/2021,4:44,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
3/12/2021,5:30,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
3/12/2021,6:16,1,1,180.045144,0,0.689922,885,0,2,1,179.98655,0,0.65828,785,0,3,1,179.941566,0,0.711789,885,0,4,1,180.086265,0,0.676705,815,0
